일자,거래처,배색번호,품명,색상,호기,투입량,WIDTH,투입량.1,승온속도,평균염색온도,온도표준편차,염색시간(분),냉각속도,Water,투입량.2,온도,width(Inch),RPM,합격량(Y),불량수량,불량률(%)
2024-09-04,(주)구주글로벌,2408-0210-1,KCSP-2153(C/N20PL 1W,ERMINE,RAPID 4호,1208,54,1208,0.65,100,0.3,30,1.29,192,1208,195,55,85,438,30,6.4
2024-09-21,(주)구주글로벌,2409-0097-0,KCSP-3740(C/N30 BROKEN TW 1W),KANGAROO,RAPID 6호,897,50.5,897,1,90,0.2,30,0.9,393,897,195,51,50,708,63,8.2
2024-09-04,(주)구주글로벌,2408-0214-1,KCSP-2153(C/N20PL 1W,WALUNT,RAPID 18호,1200,54,1200,0.63,100,3.6,24,1,437,1200,195,55,85,1057,0,0
2024-09-04,(주)구주글로벌,2408-0451-1,KCSP-2153(C/N20PL 1W,BUNGEECORD,RAPID 3호,1219,54,1219,0.71,100,1.7,21,1.29,406,1219,195,55,85,1052,41,3.8
2024-09-04,(주)구주글로벌,2408-0457-1,KCSP-2153(C/N20PL 1W,BUNGEECORD,RAPID 3호,1192,54,1192,0.8,100,4.3,24,1.11,380,1192,195,55,85,1008,54,5.1
2024-09-04,K.J CORPORATION,2408-0023-1,KCN-32(C/N30평),SURERIOR STEEL,RAPID 3호,1004,60,1004,0.63,100,3.6,24,1.17,379,1004,195,58,50,831,91,9.9
2024-09-04,K.J CORPORATION,2408-0025-0,KCN-32(C/N30평),OVERLAND TREK,RAPID 6호,1000,60,1000,0.8,90,0.4,20,0.89,476,1000,195,58,50,833,90,9.8
2024-09-04,K.J CORPORATION,2408-0026-0,KCN-32(C/N30평),OVERLAND TREK,RAPID 6호,799,60,799,0.93,100,0.3,29,1,455,799,195,58,50,695,0,0
2024-09-05,(주)신흥,2408-0726-0,SMR-229(N/C20FD REC 1/2T),ITTK008-N6547,RAPID 6호,841,58,841,0.97,100,0.3,30,0.8,372,841,180,57,45,757,0,0
2024-09-05,(주)앤디아이,2408-0850-0,NP/P75 PLAIN(CRW,# B/O,RAPID 5호,1369,60,1369,1.42,118,1.3,30,0.97,320.2,1369,180,59.5,65,1171,0,0
2024-09-05,K.J CORPORATION,2408-0869-0,KCN-22410(C/N40 2/2TW),DERRY GREEN,RAPID 18호,834,57,834,0.48,95,5.8,27,0.93,448,834,195,58,60,716,20,2.7
2024-09-06,(주)에스엠글로벌,2408-0800-0,P/P+CPT60 경1W중(K6358,34.베이지,RAPID 4호,1313,54,1313,1.24,120,0.5,39,1.68,198,1313,160,54,45,826,20,2.4
2024-09-06,창희텍스,2408-0840-0,N/C30FD DOBBY,W/GREEN,RAPID 12호,110,59,110,0.62,90,6.642875263,30,1.8,99,110,180,53,40,93,0,0
2024-09-06,K.J CORPORATION,2408-0798-0,KPC-22(P/C20 SAT경연,STONE,RAPID 6호,898,57,898,1.32,130,0.3,40,1.22,285,898,160,60,35,743,0,0
2024-09-06,K.J CORPORATION,2408-0799-0,KPC-22(P/C20 SAT경연,STONE,RAPID 6호,879,57,879,1.29,130,8.1,42,1.23,268,879,160,60,35,729,0,0
2024-09-06,SK 애드원텍스타,2408-0844-0,NP/NPC40 PLAIN,CREAM,RAPID 18호,1219,58,1219,1.2,130,15.6,22,1.4,446,1219,160,57,45,1028,9,0.9
2025-02-13,(주)티엔아이,2412-0388-0,P/TC150/20 PL (TIPC-1502 T30),BLACK 19-4005,RAPID 5호,1070,58,1070,1.3,129,12.4,51,1.45,320.2,1070,140,58,35,702,24,3.3
2024-10-17,대우상사,2410-0468-1,N/NP40/50FD PL(4951,#47,RAPID 3호,1211,57,1211,1.42,120,2.6,11,1.5,313,1211,160,55.5,55,968,13,1.3
2024-10-11,(주)예스텍스타일컨설팅랩,2410-0273-0,N70FD인터 PL 2W대,OLIVE,RAPID 12호,245,54,245,0.93,100,0.4,30,1.25,93,245,180,55,40,105,138,56.8
2024-09-09,(주)에스엠글로벌,2408-0805-0,K-6873(N/NC20/70 MONO OXF 1W,BEIGE-1,RAPID 6호,1216,46.5,1216,0.95,90,0.1,29,1,216,1216,190,49,80,1864,0,0
2024-09-09,(주)에스엠글로벌,2408-0806-0,K-6873(N/NC20/70 MONO OXF 1W,BEIGE-1,RAPID 6호,1235,46.5,1235,1.11,90,0.8,30,1.09,234,1235,190,49,80,1117,16,1.4
2024-09-09,(주)에스지인터,2408-0375-0,P/C40/2 PLAIN,#002,RAPID 4호,970,59,970,1,90,0.5,21,1.504465867,219,970,160,61,40,756,0,0
2024-09-09,(주)예성텍스타일,2408-0746-0,NP/NPC40 PLAIN(YNPC408),STONE(=RISO),RAPID 12호,224,56,224,1,100,0.2,29,1,148,224,160,57,45,180,0,0
2024-09-09,K.J CORPORATION,2408-0665-0,KCN-32(C/N30평),THRUSH,RAPID 12호,240,60,240,1.03,100,0.4,30,1.12,139,240,195,59,45,161,46,22.2
2024-09-09,SK 애드원텍스타,2408-0814-0,NP/NPC40 PLAIN,CREAM,RAPID 18호,1254,58,1254,1.4,130,15.7,46,1.47,578,1254,160,57,45,1091,0,0
2024-09-09,SK 애드원텍스타,2408-0846-0,NP/NPC40 PLAIN,CREAM,RAPID 18호,1244,58,1244,1.4,56,7.6,27,1.446666667,354,1244,160,57,45,1059,0,0
2025-03-18,(주)에스지인터,2501-0636-0,NP/C20 PLAIN,#2735,RAPID 5호,820,59,820,1.06,109,6.1,25,1.48,320.2,820,160,60,35,615,13,2.1
2024-09-10,(주)구주글로벌,2408-0554-1,KCSP-2153(C/N20PL 1W,DARK SHADOW,RAPID 3호,1165,54,1165,0.61,100,1.7,21,1.23,365,1165,195,53.7,85,998,51,4.9
2024-09-10,(주)구주글로벌,2408-0555-1,KCSP-2153(C/N20PL 1W,DARK SHADOW,RAPID 3호,1161,54,1161,0.63,100,6.3,26,1.4,474,1161,195,53.7,85,1972,127,6.1
2024-09-10,(주)신흥,2409-0056-0,SW-30411(N/NC100/30 DOB2W,0099 BLACK,RAPID 4호,1000,54,1000,1.15,130,0.5,39,1.4,260,1000,195,54,30,666,0,0
2024-09-10,(주)예성텍스타일,2408-0747-0,NP/NPC40 PLAIN(YNPC408),ORZO,RAPID 12호,310,56,310,1,129,0.5,39,1.76,125,310,160,57,45,254,0,0
2024-09-10,케이디에프(KDF),2408-0606-0,C/N40 PLAIN(401,# 1,RAPID 5호,1058,57,1058,1,99,0.4,30,1.2,320.2,1058,195,57.5,60,149,0,0
2024-09-10,케이엠씨(KMC)텍스,2408-0812-0,N/C20 PLAIN,CLAY,RAPID 6호,803,57,803,0.9,100,0.7,30,0.89,372,803,180,57,45,662,66,9.1
2024-09-10,K.J CORPORATION,2408-0774-0,KCN-32(C/N30평),CAPERS,RAPID 12호,240,60,240,0.65,100,0.2,30,1.59,131,240,195,59,45,206,0,0
2024-09-10,SK 애드원텍스타,2408-0817-0,NP/NPC40 PLAIN,CREAM,RAPID 18호,1261,58,1261,1.03,130,16.1,27,1.47,444,1261,160,57,45,1072,10,0.9
2024-09-11,(주)구주글로벌,2408-0454-0,KCSP-2153(C/N20PL 1W,DARK SHADOW,RAPID 3호,1208,54,1208,0.56,100,4.7,23,1.29,378,1208,195,55,85,1062,18,1.7
2024-09-11,(주)신흥,2409-0057-0,SW-30411(N/NC100/30 DOB2W,0099 BLACK,RAPID 4호,987,54,987,0.62,90,0.1,30,1.29,211,987,195,54,30,645,14,2.1
2024-09-11,(주)신흥,2409-0058-0,SW-30411(N/NC100/30 DOB2W,0099 BLACK,RAPID 4호,1000,54,1000,0.64,90,0.1,30,1.35,211,1000,195,54,30,639,11,1.7
2024-09-11,(주)신흥,2409-0060-0,SW-30411(N/NC100/30 DOB2W,0099 BLACK,RAPID 4호,983,54,983,0.64,90,0.1,30,1.35,229,983,195,54,30,653,0,0
2024-09-11,(주)앤디아이,2409-0194-0,NP/P75 PLAIN(CRW,# B/O,RAPID 5호,1490,60,1490,1.14,118,1.7,30,1.19,320.2,1490,180,59.125,60,1263,0,0
2024-09-11,(주)앤디아이,2409-0196-0,NP/P75 PLAIN(CRW,# B/O,RAPID 5호,1500,60,1500,0.97,99,0.4,30,0.9,320.2,1500,180,59.125,60,2448,0,0
2024-09-11,(주)에스엠글로벌,2409-0133-0,N/NC80 PL 1W 대,56.네이비,RAPID 6호,795,58,795,0.68,90,0.4,30,1.27,237,795,170,57,80,702,0,0
2024-09-11,(주)에스엠글로벌,2409-0134-0,N/NC80 PL 1W 대,56.네이비,RAPID 6호,856,58,856,0.65,90,0.4,30,0.74,216,856,170,57,80,751,0,0
2024-09-12,(주)구주글로벌,2408-0331-0,KCSP-3740(C/N30 BROKEN TW 1W),TOTAL ECLIPSE,RAPID 18호,1205,50.5,1205,0.61,100,0.8,30,1.29,451,1205,195,51,50,1012,50,4.7
